City,State,lat,lon
Los Angeles,California,34.0522342,-118.24368490000002
Miami,Florida,25.7616798,-80.1917902
New Orleans,Louisiana,29.9510658,-90.0715323
Houston,Texas,29.7604267,-95.3698028
Pasadena,California,34.1477849,-118.1445155
Pontiac,Michigan,42.6389216,-83.2910468
Tampa,Florida,27.950575,-82.4571776
Palo Alto,California,37.4418834,-122.1430195
San Diego,California,32.715738,-117.1610838
Miami Gardens,Florida,25.9420377,-80.2456045
Minneapolis,Minnesota,44.977753,-93.2650108
Atlanta,Georgia,33.7489954,-84.3879824
Tempe,Arizona,33.4255104,-111.9400054
Jacksonville,Florida,30.3321838,-81.655651
Detroit,Michigan,42.331427000000005,-83.0457538
Glendale,California,34.1425078,-118.255075
Arlington,Texas,32.735687,-97.1080656
Indianapolis,Indiana,39.768403,-86.158068
East Rutherford,New Jersey,40.81365455565781, -74.07464026316039
Santa Clara,California,37.3541079,-121.9552356
