year,team,completions,pass_attempts,passing_yards,passing_td,interception,times_sacked,sack_yards,rush_attempts,rushing_td,receptions,receiving_yards,receiving_td,fumbles_lost
2021,CIN,23,34,269,2,0,7,43,20,0,23,269,2,0
2021,LAR,26,41,283,3,2,2,13,23,0,26,283,3,0
2020,KAN,26,49,270,0,2,3,27,17,0,26,270,0,0
2020,TAM,21,29,201,3,0,1,6,33,1,21,201,3,0
2019,KAN,26,42,286,2,2,4,18,29,2,26,286,2,0
2019,SFO,20,31,219,1,2,1,9,22,1,20,219,1,0
2018,NWE,21,35,262,0,1,1,9,32,1,21,262,0,0
2018,LAR,19,38,229,0,1,4,31,18,0,19,229,0,0
2017,NWE,28,49,505,3,0,1,5,22,1,28,505,3,1
2017,PHI,29,44,374,4,1,0,0,27,1,29,374,4,0
2016,ATL,17,23,284,2,0,5,44,18,1,17,284,2,1
2016,NWE,43,63,466,2,1,5,24,25,2,43,466,2,1
2015,CAR,18,41,265,0,1,7,68,27,1,18,265,0,3
2015,DEN,13,23,141,0,1,5,37,28,1,13,141,0,1
2014,NWE,37,50,328,4,2,1,8,21,0,37,328,4,0
2014,SEA,12,21,247,2,1,3,13,29,1,12,247,2,0
2013,DEN,34,49,280,1,2,1,1,14,0,34,280,1,2
2013,SEA,18,26,206,2,0,0,0,29,1,18,206,2,0
2012,BAL,22,33,287,3,0,2,13,35,0,22,287,3,1
2012,SFO,16,28,302,1,1,3,16,29,2,16,302,1,1
2011,NWE,27,41,276,2,1,2,10,19,0,27,276,2,
2011,NYG,30,40,296,1,0,3,14,28,1,30,296,1,0
2010,GNB,24,39,304,3,0,3,16,13,0,24,304,3,
2010,PIT,25,40,263,2,2,1,2,23,1,25,263,2,1
2009,IND,31,45,333,1,1,0,0,19,1,31,333,1,
2009,NOR,32,39,288,2,0,1,7,18,0,32,288,2,0
2008,ARI,31,43,377,3,1,2,3,12,0,31,377,3,1
2008,PIT,21,30,256,1,1,3,22,25,1,20,250,1,0
2007,NWE,29,48,266,1,0,5,37,16,1,29,266,1,1
2007,NYG,19,34,255,2,1,3,8,26,0,19,255,2,0
2006,CHI,20,28,165,1,2,1,11,19,0,20,165,1,2
2006,IND,25,38,247,1,1,1,8,42,1,25,247,1,2
2005,PIT,10,22,166,1,2,1,8,33,2,10,166,1,
2005,SEA,26,49,273,1,1,3,14,25,0,26,273,1,0
