year,team,winner,pass_completion,turnovers,yards_per_attempt,rushing_yards,times_sacked
56,CIN,0,0.6764705882352942,0.0,7.911764705882353,79,7
56,LAR,1,0.6341463414634146,2.0,6.902439024390244,43,2
55,KAN,0,0.5306122448979592,2.0,5.510204081632653,107,3
55,TAM,1,0.7241379310344828,0.0,6.931034482758621,145,1
54,KAN,1,0.6190476190476191,2.0,6.809523809523809,129,4
54,SFO,0,0.6451612903225806,2.0,7.064516129032258,141,1
53,NWE,1,0.6,1.0,7.485714285714286,154,1
53,LAR,0,0.5,1.0,6.026315789473684,62,4
52,NWE,0,0.5714285714285714,1.0,10.306122448979592,113,1
52,PHI,1,0.6590909090909091,1.0,8.5,164,0
51,ATL,0,0.7391304347826086,1.0,12.347826086956522,104,5
51,NWE,1,0.6825396825396826,2.0,7.396825396825397,104,5
50,CAR,0,0.43902439024390244,4.0,6.463414634146342,118,7
50,DEN,1,0.5652173913043478,2.0,6.130434782608695,90,5
49,NWE,1,0.74,2.0,6.56,57,1
49,SEA,0,0.5714285714285714,1.0,11.761904761904763,162,3
48,DEN,0,0.6938775510204082,4.0,5.714285714285714,27,1
48,SEA,1,0.6923076923076923,0.0,7.923076923076923,135,0
47,BAL,1,0.6666666666666666,1.0,8.696969696969697,93,2
47,SFO,0,0.5714285714285714,2.0,10.785714285714286,182,3
46,NWE,0,0.6585365853658537,0.0,6.7317073170731705,83,2
46,NYG,1,0.75,0.0,7.4,114,3
45,GNB,1,0.6153846153846154,0.0,7.794871794871795,50,3
45,PIT,0,0.625,3.0,6.575,126,1
44,IND,0,0.6888888888888889,0.0,7.4,99,0
44,NOR,1,0.8205128205128205,0.0,7.384615384615385,51,1
43,ARI,0,0.7209302325581395,2.0,8.767441860465116,33,2
43,PIT,1,0.7,1.0,8.533333333333333,58,3
42,NWE,0,0.6041666666666666,1.0,5.541666666666667,45,5
42,NYG,1,0.5588235294117647,1.0,7.5,91,3
41,CHI,0,0.7142857142857143,4.0,5.892857142857143,111,1
41,IND,1,0.6578947368421053,3.0,6.5,191,1
40,PIT,1,0.45454545454545453,0.0,7.545454545454546,181,1
40,SEA,0,0.5306122448979592,1.0,5.571428571428571,137,3
39,NWE,1,0.696969696969697,1.0,7.151515151515151,112,2
39,PHI,0,0.5882352941176471,4.0,7.0,45,4
38,CAR,0,0.48484848484848486,1.0,9.787878787878787,92,4
38,NWE,1,0.6666666666666666,1.0,7.375,127,0
37,OAK,0,0.5454545454545454,5.0,6.181818181818182,19,5
37,TAM,1,0.5294117647058824,1.0,6.323529411764706,150,0
36,NWE,1,0.5925925925925926,0.0,5.37037037037037,133,2
36,STL,0,0.6363636363636364,3.0,8.295454545454545,90,3
35,NYG,0,0.38461538461538464,4.0,2.871794871794872,66,4
35,BAL,1,0.46153846153846156,0.0,5.884615384615385,111,3
34,TEN,0,0.6111111111111112,0.0,5.944444444444445,159,1
34,STL,1,0.5333333333333333,0.0,9.2,29,2
33,ATL,0,0.5428571428571428,4.0,6.257142857142857,131,2
33,DEN,1,0.6206896551724138,0.0,11.586206896551724,121,0
32,DEN,1,0.5454545454545454,2.0,5.590909090909091,179,0
32,GNB,0,0.5952380952380952,3.0,6.095238095238095,95,1
31,GNB,1,0.5185185185185185,0.0,9.11111111111111,115,5
31,NWE,0,0.5208333333333334,0.0,5.270833333333333,43,5
30,DAL,1,0.6521739130434783,0.0,9.08695652173913,56,2
30,PIT,0,0.5714285714285714,3.0,4.877551020408164,103,4
29,SDG,0,0.4909090909090909,0.0,5.545454545454546,67,2
29,SFO,1,0.6578947368421053,0.0,8.710526315789474,139,3
28,BUF,0,0.62,3.0,5.2,87,3
28,DAL,1,0.7037037037037037,0.0,7.666666666666667,137,2
27,BUF,0,0.5789473684210527,9.0,7.2631578947368425,108,4
27,DAL,1,0.7333333333333333,1.0,9.1,137,1
26,BUF,0,0.4915254237288136,4.0,4.8474576271186445,43,5
26,WAS,1,0.5454545454545454,1.0,8.848484848484848,125,0
25,BUF,0,0.6,0.0,7.066666666666666,166,1
25,NYG,1,0.625,0.0,6.9375,172,2
24,DEN,0,0.3793103448275862,4.0,4.689655172413793,64,6
24,SFO,1,0.75,0.0,9.90625,144,1
23,CIN,0,0.44,0.0,5.76,106,5
23,SFO,1,0.6388888888888888,1.0,9.916666666666666,112,3
22,DEN,0,0.38461538461538464,0.0,7.17948717948718,97,5
22,WAS,1,0.6,1.0,11.333333333333334,280,2
21,DEN,0,0.6341463414634146,0.0,8.585365853658537,52,4
21,NYG,1,0.88,0.0,10.72,136,1
20,CHI,1,0.5,2.0,10.666666666666666,167,3
20,NWE,0,0.4722222222222222,5.0,4.916666666666667,7,7
19,MIA,0,0.58,2.0,6.36,25,4
19,SFO,1,0.6857142857142857,0.0,9.457142857142857,211,1
18,RAI,1,0.64,1.0,6.88,231,2
18,WAS,0,0.45714285714285713,3.0,6.942857142857143,90,6
17,MIA,0,0.23529411764705882,2.0,5.705882352941177,96,1
17,WAS,1,0.6521739130434783,0.0,6.217391304347826,276,3
16,CIN,0,0.7352941176470589,3.0,8.823529411764707,72,5
16,SFO,1,0.6363636363636364,0.0,7.136363636363637,127,1
15,PHI,0,0.47368421052631576,4.0,7.657894736842105,69,0
15,OAK,1,0.6190476190476191,0.0,12.428571428571429,117,1
14,PIT,1,0.6666666666666666,0.0,14.714285714285714,84,0
14,RAM,0,0.6153846153846154,0.0,9.076923076923077,107,4
13,DAL,0,0.5666666666666667,2.0,7.6,154,5
13,PIT,1,0.5666666666666667,3.0,10.6,66,4
12,DAL,1,0.6785714285714286,2.0,7.75,143,5
12,DEN,0,0.32,7.0,2.44,121,4
11,MIN,0,0.5454545454545454,3.0,6.5,71,1
11,OAK,1,0.631578947368421,0.0,9.473684210526315,266,2
10,DAL,0,0.625,3.0,8.5,108,7
10,PIT,1,0.47368421052631576,0.0,11.0,149,2
9,MIN,0,0.4230769230769231,4.0,3.923076923076923,17,0
9,PIT,1,0.6428571428571429,2.0,6.857142857142857,249,2
8,MIA,1,0.8571428571428571,0.0,10.428571428571429,196,1
8,MIN,0,0.6428571428571429,2.0,6.5,72,2
7,MIA,1,0.7272727272727273,0.0,8.0,184,2
7,WAS,0,0.5,0.0,3.7142857142857144,141,2
6,DAL,1,0.631578947368421,1.0,6.2631578947368425,252,2
6,MIA,0,0.5217391304347826,3.0,5.826086956521739,80,1
5,BAL,1,0.44,4.0,10.4,69,0
5,DAL,0,0.46153846153846156,4.0,4.884615384615385,102,2
4,KAN,1,0.7058823529411765,0.0,8.352941176470589,151,3
4,MIN,0,0.6071428571428571,5.0,7.107142857142857,67,3
3,BAL,0,0.4146341463414634,0.0,4.414634146341464,143,0
3,NYJ,1,0.5862068965517241,1.0,7.103448275862069,142,2
2,GNB,1,0.5416666666666666,0.0,8.416666666666666,160,4
2,OAK,0,0.4411764705882353,1.0,6.117647058823529,107,3
1,GNB,1,0.6666666666666666,1.0,10.416666666666666,133,3
1,KAN,0,0.53125,1.0,7.125,72,6
